mu,expected_return,risk_mad,objective_value,weight_SHY,weight_XLB,weight_XLE,weight_XLF,weight_XLI,weight_XLK,weight_XLP,weight_XLU,weight_XLV
0.7220809018385463,1.0039737742056467,0.004338010190777777,0.7206122781098847,0.9798577,0.0,0.0046200597,0.0,0.0,0.01552224,0.0,0.0,0.0
0.7653117546501339,1.0039737742056467,0.004338010190777777,0.7640149205692631,0.9798577,0.0,0.0046200597,0.0,0.0,0.01552224,0.0,0.0,0.0
0.8111308307896871,1.0039737742056467,0.004338010190777777,0.8100160713717062,0.9798577,0.0,0.0046200597,0.0,0.0,0.01552224,0.0,0.0,0.0
0.859693086719079,1.0050824156210585,0.005277460666388889,0.8587849436259472,0.92007028,0.0,0.0025308269,0.0,0.028767782,0.048631114,0.0,0.0,0.0
0.9111627561154891,1.005302719492025,0.005475175191111111,0.9105192214316389,0.91039208,0.0,0.015131186,0.0,0.0,0.074476733,0.0,0.0,0.0
0.9657139052966048,1.005302719492025,0.005475175191111111,0.9653596400548297,0.91039208,0.0,0.015131186,0.0,0.0,0.074476733,0.0,0.0,0.0
1.0235310218990263,1.005302719492025,0.005475175191111111,1.0234833446084315,0.91039208,0.0,0.015131186,0.0,0.0,0.074476733,0.0,0.0,0.0
1.0848096388007427,1.0054301103217325,0.005611317559166666,1.0850889572583426,0.9037331,0.0,0.016138783,0.0,0.0,0.080128114,0.0,0.0,0.0
1.1497569953977356,1.0055372633690305,0.005728874803333333,1.1503946278883048,0.89621235,0.0,0.0063576868,0.025449246,0.0,0.071980717,0.0,0.0,0.0
1.2185927384710877,1.0069791282734175,0.007453611137277777,1.2196438423686546,0.82848365,0.0,0.011450052,0.022959626,0.0,0.13710667,0.0,0.0,0.0
1.291549665014884,1.0071487570077742,0.007661722690000001,1.2931209170435476,0.81919558,0.0,0.0085917212,0.032340261,0.0,0.13987244,0.0,0.0,0.0
1.3688745095370807,1.0071487570077742,0.007661722690000001,1.3709985380898972,0.81919558,0.0,0.0085917212,0.032340261,0.0,0.13987244,0.0,0.0,0.0
1.4508287784959395,1.007850519748429,0.008642755697777778,1.4535757827753335,0.77761727,0.0,0.0,0.052426646,0.0,0.15544723,0.0,0.014508851,0.0
1.537689634694013,1.0084919344420986,0.00959007556037222,1.541157518703757,0.73760448,0.0,0.0,0.076224384,0.0,0.17204268,0.0,0.01412846,0.0
1.6297508346206444,1.0088864883931468,0.010226202394444444,1.6340073941017776,0.71586256,0.0,0.0,0.092535495,0.0,0.18354414,0.0,0.0080577981,0.0
1.7273237219129889,1.0132419656562666,0.017627975855555558,1.7325689074602597,0.45229099,0.0,0.0,0.19584805,0.0,0.31341492,0.0,0.038446029,0.0
1.8307382802953678,1.0207792461761853,0.030879152388055553,1.8379004893177358,0.0,0.0,0.0,0.32793401,0.0,0.55037596,0.0,0.12169003,0.0
1.9403442495579148,1.0216944790448408,0.03259107362722222,1.9498479335925043,0.0,0.0,0.0,0.40164515,0.0,0.59835485,0.0,0.0,0.0
2.0565123083486516,1.0216944790448408,0.03259107362722222,2.0685361979003565,0.0,0.0,0.0,0.40164515,0.0,0.59835485,0.0,0.0,0.0
2.1796353277791214,1.0218871404400383,0.03299743877222222,2.19434387353407,0.0,0.0,0.0,0.38455044,0.0,0.61544956,0.0,0.0,0.0
2.3101297000831593,1.0218871404400383,0.03299743877222222,2.3276943944913606,0.0,0.0,0.0,0.38455044,0.0,0.61544956,0.0,0.0,0.0
2.448436746822227,1.022205148484841,0.03374657073888889,2.4690580776022664,0.0,0.0,0.0,0.35633381,0.0,0.64366619,0.0,0.0,0.0
2.595024211399736,1.022205148484841,0.03374657073888889,2.618900538596735,0.0,0.0,0.0,0.35633381,0.0,0.64366619,0.0,0.0,0.0
2.7503878409319458,1.0260880612881011,0.04387901585347222,2.7782611116387543,0.0,0.0,0.0,0.011806054,0.0,0.98819395,0.0,0.0,0.0
2.9150530628251756,1.026221114183623,0.04426181074444445,2.94722719129239,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.089576761729402,1.026221114183623,0.04426181074444445,3.1263270960333323,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.2745491628777286,1.026221114183623,0.04426181074444445,3.3161496796329883,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
